hh_id,hh_puma,i_kids,income,age,i_female,yrs_education,hrs_work_perwk
2021HU0887331,5912,0,80000,62,1,12,50
2021HU0706339,5500,1,42000,53,0,6,46
2021HU0455395,7307,0,115000,62,0,12,40
2021HU0684000,5904,0,112000,23,0,16,40
2021HU0654773,5908,0,2000,60,1,16,16
2021HU0430364,7114,1,31000,24,0,14,41
2021HU0802178,5303,0,135000,67,0,14,72
2021HU0154040,101,0,33100,58,0,16,20
2021HU0694130,11105,1,13200,34,0,0,40
2021HU0951046,3766,1,54000,30,1,14,40
2021HU0789670,6503,0,130000,63,0,16,55
2021HU0901348,6505,0,100000,50,1,18,40
2021HU0667751,3707,0,28000,54,0,10,40
2021HU0835754,1302,0,151000,66,1,16,40
2021HU1107877,3716,1,16600,26,0,12,30
2021GQ0095940,8504,0,2000,35,0,12,40
2021HU0270326,5904,0,48800,58,0,16,40
2021HU0559584,3727,0,85000,51,0,16,45
2021HU0207428,103,0,195000,33,1,21,40
2021HU0988299,2903,0,60000,60,0,16,40
2021HU1065482,5913,1,99000,35,1,16,45
2021HU0090053,3745,1,18000,49,0,0,40
2021HU0827613,1307,0,105800,76,1,14,40
2021HU1057046,6511,1,50000,35,0,14,40
2021HU1022939,6510,0,49000,24,1,16,40
2021HU0427786,3752,1,43000,34,1,16,50
2021HU0127733,8106,1,32000,44,0,0,40
2021HU1253013,3900,0,16000,23,0,6,40
2021HU0776773,4702,1,12000,19,1,12,35
2021HU1023245,3739,1,80000,25,1,16,40
2021HU0708958,1700,1,180,17,0,10,4
2021HU0958167,10702,1,15400,39,1,0,46
2021HU1099852,7703,0,12000,21,0,12,40
2021HU1195512,3705,1,84000,41,0,16,40
2021HU0978045,1901,1,9200,26,1,12,40
2021HU1347803,7313,0,325000,55,0,16,45
2021HU0750788,3723,0,24000,45,1,6,40
2021HU0823991,2500,0,14800,71,1,10,23
2021HU1252148,3762,0,90000,27,1,16,40
2021HU1252585,8106,1,386600,53,1,18,70
2021HU0405993,11104,1,65000,49,1,18,40
2021HU0387314,5904,0,20000,56,0,16,64
2021HU0560810,3725,0,20000,46,1,16,30
2021HU1138043,7316,0,52000,42,0,16,40
2021HU0643668,8104,1,75000,46,1,14,35
2021HU0744474,11102,0,110000,39,1,16,40
2021HU0120191,104,0,109600,62,1,19,25
2021HU0215489,6705,0,85000,53,0,14,40
