income,age,i_female,i_born_usa,i_employed,i_amin,i_asian,i_black,i_white,i_hispanic,yrs_education
142000,36,1,1,1,0,1,0,0,0,18
100000,35,1,0,1,0,0,0,1,1,16
627000,45,0,1,1,0,0,0,1,0,18
77000,45,1,1,1,0,0,0,1,0,16
10700,40,0,0,1,0,0,0,1,1,8
267600,39,0,1,1,0,0,0,1,0,19
110000,36,1,1,1,0,0,1,0,0,21
130000,42,0,1,1,0,0,0,1,0,16
30000,44,1,0,1,0,1,0,0,0,18
219100,38,0,1,1,0,0,0,1,0,14
200000,46,0,1,1,0,0,0,1,0,16
38000,47,0,1,1,0,0,0,1,0,14
13000,49,1,1,1,0,0,0,1,0,16
36000,38,1,1,1,0,0,0,1,0,18
130000,40,1,1,1,0,0,0,1,0,21
632000,48,1,1,1,0,0,0,1,0,16
54000,42,0,0,1,0,0,0,1,0,16
74000,37,0,1,1,0,0,0,1,1,12
150000,50,0,1,1,0,0,0,1,0,16
2000,40,0,1,1,0,0,0,0,1,12
0,39,1,1,1,0,0,1,0,0,14
22000,42,0,1,1,0,0,0,0,1,9
73000,50,1,1,1,0,1,0,0,0,18
60000,39,0,1,1,0,1,0,0,0,0
170000,44,0,0,1,0,0,0,1,0,16
150600,48,1,0,1,0,1,0,0,0,16
114000,38,1,0,1,0,1,0,0,0,16
40000,50,1,1,1,0,0,0,1,0,14
0,50,1,0,1,0,0,0,0,1,14
130000,40,0,0,1,0,0,0,0,1,12
12000,45,1,0,1,0,0,0,1,1,4
30000,38,1,1,1,0,0,0,1,0,14
50000,39,1,1,1,0,0,0,1,0,21
216000,43,0,0,1,0,0,0,1,1,16
38000,46,1,0,1,0,0,0,0,1,12
10000,37,0,1,1,0,0,0,1,0,14
42800,47,1,0,1,0,1,0,0,0,14
2000,35,1,0,1,0,0,0,0,1,6
42000,38,1,0,1,0,0,0,0,1,14
160000,38,1,1,1,0,1,0,0,0,16
0,45,1,1,1,0,0,0,0,1,14
627000,50,0,1,1,0,0,0,1,0,19
12000,49,1,0,1,0,0,0,0,1,12
72000,39,0,1,1,0,0,0,1,0,19
0,45,1,1,1,0,0,0,1,0,12
160000,44,1,0,1,0,1,0,0,0,18
104000,42,0,1,1,0,0,0,1,0,18
71500,42,1,1,1,0,0,1,0,0,12
58000,35,1,1,1,0,0,0,1,1,16
103000,49,0,0,1,0,1,0,0,0,18
150000,50,0,1,1,0,0,0,1,0,16
120000,38,0,0,1,0,1,0,0,0,16
4000,43,1,1,1,0,0,0,1,0,12
170000,35,1,1,1,0,1,0,0,0,18
500,50,0,1,1,0,0,1,1,0,14
113000,41,1,0,1,0,1,0,0,0,18
225000,37,0,1,1,0,1,0,0,0,16
8000,48,1,1,1,0,0,0,1,0,12
5000,37,1,1,1,0,0,0,0,1,12
104000,46,1,0,1,0,1,0,0,0,16
62000,43,1,0,1,0,0,0,1,0,16
175100,49,1,1,1,0,0,0,1,0,18
47000,40,1,1,1,0,1,0,0,0,21
31200,36,1,1,1,0,0,0,0,1,12
230050,47,0,0,1,0,1,0,0,0,18
35000,37,1,0,1,0,1,0,0,0,14
95000,40,1,0,1,0,0,0,1,0,16
10800,45,1,1,1,0,0,1,0,0,12
45000,43,0,0,1,0,1,0,0,0,18
22000,36,1,0,1,0,0,0,1,1,12
96000,36,1,1,1,0,0,0,0,1,16
75000,45,1,0,1,0,0,1,0,0,14
