date,unemployment,inflation,year,month,time
1/1/2003,5.8,1.75,2003,1,1
2/1/2003,5.9,1.91,2003,2,2
3/1/2003,5.9,1.86,2003,3,3
4/1/2003,6,1.77,2003,4,4
5/1/2003,6.1,1.66,2003,5,5
6/1/2003,6.3,1.61,2003,6,6
7/1/2003,6.2,1.87,2003,7,7
8/1/2003,6.1,2.12,2003,8,8
9/1/2003,6.1,2.09,2003,9,9
10/1/2003,6,2.21,2003,10,10
11/1/2003,5.8,2.34,2003,11,11
12/1/2003,5.7,2.28,2003,12,12
1/1/2004,5.7,2.26,2004,1,13
2/1/2004,5.6,2.32,2004,2,14
3/1/2004,5.8,2.36,2004,3,15
4/1/2004,5.6,2.44,2004,4,16
5/1/2004,5.6,2.63,2004,5,17
6/1/2004,5.6,2.59,2004,6,18
7/1/2004,5.5,2.47,2004,7,19
8/1/2004,5.4,2.42,2004,8,20
9/1/2004,5.4,2.33,2004,9,21
10/1/2004,5.5,2.37,2004,10,22
11/1/2004,5.4,2.52,2004,11,23
12/1/2004,5.4,2.56,2004,12,24
1/1/2005,5.3,2.5,2005,1,25
2/1/2005,5.4,2.53,2005,2,26
3/1/2005,5.2,2.71,2005,3,27
4/1/2005,5.2,2.64,2005,4,28
5/1/2005,5.1,2.49,2005,5,29
6/1/2005,5,2.32,2005,6,30
7/1/2005,5,2.3,2005,7,31
8/1/2005,4.9,2.37,2005,8,32
9/1/2005,5,2.5,2005,9,33
10/1/2005,5,2.52,2005,10,34
11/1/2005,5,2.47,2005,11,35
12/1/2005,4.9,2.34,2005,12,36
1/1/2006,4.7,2.41,2006,1,37
2/1/2006,4.8,2.52,2006,2,38
3/1/2006,4.7,2.53,2006,3,39
4/1/2006,4.7,2.58,2006,4,40
5/1/2006,4.6,2.66,2006,5,41
6/1/2006,4.6,2.58,2006,6,42
7/1/2006,4.7,2.58,2006,7,43
8/1/2006,4.7,2.59,2006,8,44
9/1/2006,4.5,2.4,2006,9,45
10/1/2006,4.4,2.32,2006,10,46
11/1/2006,4.5,2.3,2006,11,47
12/1/2006,4.4,2.31,2006,12,48
1/1/2007,4.6,2.32,2007,1,49
2/1/2007,4.5,2.36,2007,2,50
3/1/2007,4.4,2.39,2007,3,51
4/1/2007,4.5,2.44,2007,4,52
5/1/2007,4.4,2.37,2007,5,53
6/1/2007,4.6,2.41,2007,6,54
7/1/2007,4.7,2.37,2007,7,55
8/1/2007,4.6,2.24,2007,8,56
9/1/2007,4.7,2.26,2007,9,57
10/1/2007,4.7,2.33,2007,10,58
11/1/2007,4.7,2.38,2007,11,59
12/1/2007,5,2.31,2007,12,60
1/1/2008,5,2.28,2008,1,61
2/1/2008,4.9,2.33,2008,2,62
3/1/2008,5.1,2.42,2008,3,63
4/1/2008,5,2.31,2008,4,64
5/1/2008,5.4,2.42,2008,5,65
6/1/2008,5.6,2.47,2008,6,66
7/1/2008,5.8,2.44,2008,7,67
8/1/2008,6.1,2.21,2008,8,68
9/1/2008,6.1,1.84,2008,9,69
10/1/2008,6.5,1.06,2008,10,70
11/1/2008,6.8,0.64,2008,11,71
12/1/2008,7.3,0.25,2008,12,72
1/1/2009,7.8,0.61,2009,1,73
2/1/2009,8.3,1.12,2009,2,74
3/1/2009,8.7,1.11,2009,3,75
4/1/2009,9,1.36,2009,4,76
5/1/2009,9.4,1.58,2009,5,77
6/1/2009,9.5,1.86,2009,6,78
7/1/2009,9.5,1.74,2009,7,79
8/1/2009,9.6,1.81,2009,8,80
9/1/2009,9.8,1.76,2009,9,81
10/1/2009,10,1.9,2009,10,82
11/1/2009,9.9,2.13,2009,11,83
12/1/2009,9.9,2.23,2009,12,84
1/1/2010,9.8,2.36,2010,1,85
2/1/2010,9.8,2.27,2010,2,86
3/1/2010,9.9,2.22,2010,3,87
4/1/2010,9.9,2.35,2010,4,88
5/1/2010,9.6,2.11,2010,5,89
6/1/2010,9.4,1.95,2010,6,90
7/1/2010,9.4,1.77,2010,7,91
8/1/2010,9.5,1.68,2010,8,92
9/1/2010,9.5,1.74,2010,9,93
10/1/2010,9.4,2.02,2010,10,94
11/1/2010,9.8,2.1,2010,11,95
12/1/2010,9.3,2.25,2010,12,96
1/1/2011,9.1,2.33,2011,1,97
2/1/2011,9,2.34,2011,2,98
3/1/2011,9,2.45,2011,3,99
4/1/2011,9.1,2.59,2011,4,100
5/1/2011,9,2.39,2011,5,101
6/1/2011,9.1,2.25,2011,6,102
7/1/2011,9,2.38,2011,7,103
8/1/2011,9,2.17,2011,8,104
9/1/2011,9,1.9,2011,9,105
10/1/2011,8.8,1.97,2011,10,106
11/1/2011,8.6,2.01,2011,11,107
12/1/2011,8.5,2.01,2011,12,108
1/1/2012,8.3,2.07,2012,1,109
2/1/2012,8.3,2.22,2012,2,110
3/1/2012,8.2,2.31,2012,3,111
4/1/2012,8.2,2.27,2012,4,112
5/1/2012,8.2,2.14,2012,5,113
6/1/2012,8.2,2.12,2012,6,114
7/1/2012,8.2,2.13,2012,7,115
8/1/2012,8.1,2.26,2012,8,116
9/1/2012,7.8,2.44,2012,9,117
10/1/2012,7.8,2.49,2012,10,118
11/1/2012,7.7,2.43,2012,11,119
12/1/2012,7.9,2.48,2012,12,120
1/1/2013,8,2.52,2013,1,121
2/1/2013,7.7,2.55,2013,2,122
3/1/2013,7.5,2.54,2013,3,123
4/1/2013,7.6,2.41,2013,4,124
5/1/2013,7.5,2.28,2013,5,125
6/1/2013,7.5,2.05,2013,6,126
7/1/2013,7.3,2.12,2013,7,127
8/1/2013,7.2,2.18,2013,8,128
9/1/2013,7.2,2.15,2013,9,129
10/1/2013,7.2,2.19,2013,10,130
11/1/2013,6.9,2.17,2013,11,131
12/1/2013,6.7,2.16,2013,12,132
